,Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
91796,2022-2023,EPL,Newcastle Utd,Alexander Isak,se SWE,"FW,MF",23.0,6.0,533.0,5.9,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,11.0,10.0,36.0,0.68,0.0,0.68,0.51,0.51,3.7,2.9,0.5,3.4,0.71,0.11,0.82,0.56,0.67
91797,2022-2023,EPL,Newcastle Utd,Chris Wood,nz NZL,FW,31.0,4.0,446.0,5.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,23.0,0.4,0.0,0.4,0.2,0.2,1.8,1.0,0.3,1.3,0.37,0.06,0.43,0.21,0.27
91798,2022-2023,EPL,Newcastle Utd,Matt Targett,eng ENG,DF,27.0,4.0,430.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.07,0.07,0.0,0.07
91799,2022-2023,EPL,Newcastle Utd,Ryan Fraser,sct SCO,FW,29.0,3.0,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.09,0.11,0.2,0.09,0.2
91800,2022-2023,EPL,Newcastle Utd,Jamaal Lascelles,eng ENG,DF,29.0,2.0,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
91801,2022-2023,EPL,Newcastle Utd,Anthony Gordon,eng ENG,"FW,MF",22.0,1.0,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,0.17,0.33,0.5,0.17,0.5
91802,2022-2023,EPL,Newcastle Utd,Elliot Anderson,sct SCO,"MF,FW",20.0,1.0,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.3,0.32,0.62,0.3,0.62
91803,2022-2023,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,34.0,0.0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91804,2022-2023,EPL,Newcastle Utd,Jonjo Shelvey,eng ENG,MF,31.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91805,2022-2023,EPL,Newcastle Utd,Matt Ritchie,sct SCO,"MF,FW",33.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91806,2022-2023,EPL,Newcastle Utd,Javier Manquillo,es ESP,DF,28.0,0.0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91807,2022-2023,EPL,Newcastle Utd,Jamal Lewis,nir NIR,DF,25.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
